פקטין
תוספות איזה שאוהבים
תוספות שאוהבים
גבינת עיזים מפוררת
נתח בשר מס
כרישות פרוסות
קג אוסובוקו בקר
הרבה מי ברז
שוקי ברווז
ורדים יבשים
סומאק
מרדקוש יבש אזוב תרבותי
ורדים יבשים מפוררים או יותר
צרור בקצוי
פפאיה ירוקה
אבקת טמפורה
עצמות העוף
גמבות
גבינת גרנה פדנה
אנדיב
שומן בקרכבש טחון
צימיצורי רוקט
עץ
מסננת צפופה
בננות בינוניות
קג שסק
חוואייג
קוואטרו מגוררת
קוביות קרח
דובדבני אמרנה
קרח
בננות קפואות
רוויון
גריסים
כדורי פררו רושה
תבנית בקוטר סמ
פרוסה טורט ספוג אפוי בעובי סמ
גבינה או
פקאנים
מיץ מנדרינות
 פקאנים קצוצים גס
מבחר פירות העונה
אבקת שוקו
שמפניה
י תאנים
פקאנים קצוצים
קרם נוגט
קרם נוגט
מצות
גרעיני חמניות
עראק
שני  פקאנים טחונים
 פקאנים טחונים דק
חצאי פקאנים
 פקאנים קצוצים
פירות שאוהבים
 פקאנים
  מי קרח
שקיות ממתיק סטיביה
 רוויון
פקאנים חצויים
כדורי הפתעה
בננות
גבינה  ם קטנים
גבינה
קרם פטיסייר שהכנו מראש
נקטרינות
 
  
מכמות הגנאש
ברס טחון
פקאנים טחונים דק
קישוטים
טיפות תמצית ורדים
טיפות תמצית ורדים
ורדים מיובשים
אייריש קרים
אבקת קרם טרטר
טפיוקה
אבקת נוגט
אבקת נוגט
פייטה
חומצה טרטרית
מריר
ממרח נוגט
קג 
אבקת פנינה
קוניאק
ריוויון
תמצית ורדים
קרמבואים
תאנים חצויות
 ריויון
ריויון
צנצנות זכוכית קטנות עם מכסה סגירה אטום
 ברס
 גרעיני חמניה
נשיקות מרנג קטנטנות
 פקאנים טחונים
גר אבקת נוגט
אפרסמונים
בננות מעוכות
דובדבני אמרנה מסוננים
בננות מרוסקות
טיפות מי זהר
בננות מעוכות בערך בננות
שיפודי עץ
בננות רכות
פט א בומב
בננות חצויות קפואות
עטרות נייר
גבינה אפשר גם
